Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
33	3149.5955	43.893703	3213.4968	3081.983	3004.3892	375.49973	3191.013	1833.1978	1000.0	958.0	164999	233.99197	65.84041	233.99213	65.82971	-235.51524	23.460985	1648.4798471927643
34	3217.6506	50.375423	3293.1233	3152.5198	3373.0754	14.2017355	3387.3135	3340.2568	1000.0	1000.0	169999	236.09273	65.367294	236.0934	65.35674	-237.62723	21.67913	1703.0891768932343
35	2860.1921	826.2679	3296.3828	1208.121	3278.132	3.8250413	3285.8665	3273.314	874.4	1000.0	174999	238.62437	64.94976	238.6246	64.93542	-240.0549	21.694258	1754.4190261363983
36	3283.4438	20.358046	3312.8892	3251.4556	3347.4263	12.196206	3373.5479	3328.1304	1000.0	1000.0	179999	240.6791	64.92448	240.67958	64.917	-242.07985	20.39268	1809.3732018470764
37	3293.141	13.090334	3314.3618	3273.199	3325.5137	11.186673	3343.6267	3299.9172	1000.0	1000.0	184999	242.8117	64.59342	242.8118	64.584694	-244.2925	19.845287	1864.2877509593964
38	3293.7227	17.13271	3325.6526	3278.912	3326.7598	11.753068	3340.9414	3299.145	994.4	1000.0	189999	245.07307	64.4378	245.07295	64.431694	-246.52623	19.854546	1918.4138598442078
39	3108.9836	449.1047	3325.7996	2104.9468	3378.6152	14.197177	3403.5647	3352.8645	938.1667	1000.0	194999	247.6011	64.055855	247.60135	64.043945	-249.01324	19.678268	1970.5518341064453
40	3295.1328	6.261305	3302.9648	3288.455	3353.4126	8.86568	3368.3806	3334.5618	1000.0	1000.0	199999	249.83922	64.089165	249.83983	64.07672	-251.10033	19.104828	2024.2002086639404
41	3292.434	11.176694	3312.672	3278.6272	2293.359	424.28372	3358.6733	1481.4423	991.6	709.2	204999	252.31567	64.00853	252.31578	63.99411	-253.62595	18.636238	2075.4189579486847
42	3327.502	7.7771735	3338.0884	3317.652	3340.4414	25.932419	3358.3784	3270.0598	1000.0	1000.0	209999	254.49847	63.80122	254.49866	63.79619	-255.8807	18.634966	2130.0916295051575
43	3321.3235	23.66452	3362.1975	3295.523	3358.0378	19.050255	3378.9636	3321.4465	1000.0	1000.0	214999	256.24695	63.636204	256.2474	63.62723	-257.51465	18.2769	2180.6160604953766
44	3325.6511	5.2460637	3330.33	3315.4802	3373.899	11.959329	3393.9788	3355.6924	1000.0	1000.0	219999	257.92984	63.476734	257.93045	63.461903	-258.97116	18.50926	2235.5703887939453
45	3333.3586	16.500505	3357.2046	3313.1677	3380.688	5.187984	3389.7734	3370.0332	1000.0	1000.0	224999	259.34305	63.500256	259.3428	63.492416	-260.6313	16.913988	2285.837269306183
46	3316.2957	22.483213	3343.3718	3280.0315	3287.357	9.371443	3313.644	3273.8938	991.4	1000.0	229999	261.03677	63.03652	261.03683	63.025043	-262.17487	16.55037	2341.2166295051575
47	3336.976	13.859078	3350.9185	3311.069	3353.9453	20.441618	3383.4536	3313.6597	1000.0	1000.0	234999	262.39584	63.067398	262.39618	63.059834	-263.41898	16.856752	2391.4725799560547
48	2878.0962	708.35156	3373.718	1518.2769	2784.9094	580.6003	3326.0254	1996.4677	849.4	850.55	239999	263.98724	62.81575	263.9873	62.80365	-265.11465	16.217869	2445.227969646454
49	2965.7256	618.65106	3394.609	1705.0731	3330.8755	31.425173	3387.03	3297.654	876.3333	1000.0	244999	265.21335	62.866535	265.21344	62.85917	-266.09253	16.253124	2497.3109612464905
50	3370.8086	14.466781	3383.413	3342.5154	3346.9363	41.3278	3413.129	3300.8945	992.8	1000.0	249999	266.44916	62.89853	266.44922	62.888733	-267.45715	15.550181	2549.3029034137726
51	3002.3293	778.50555	3377.4177	1262.3351	3429.3047	2.4705184	3434.0493	3424.261	897.3333	1000.0	254999	267.64282	62.995647	267.64322	62.983597	-268.65494	15.572721	2603.6987590789795
52	3187.418	390.60867	3385.2402	2406.2334	3313.5093	1.947295	3316.6953	3309.9204	941.0	1000.0	259999	268.828	62.8382	268.82855	62.83532	-269.7789	15.832469	2654.0695745944977
53	3331.036	24.476776	3363.3274	3296.1177	3400.3442	3.1074305	3407.0955	3395.2854	998.4	1000.0	264999	270.0453	62.744225	270.04544	62.736744	-270.95645	15.512583	2709.096254825592
54	3107.2239	588.4143	3447.9382	1794.2394	3365.7227	6.8921156	3382.1318	3353.2483	920.5	1000.0	269999	271.24564	62.6583	271.24603	62.647984	-272.12494	15.042991	2759.6189181804657
55	3353.5688	24.440266	3384.2542	3320.3909	3075.522	540.9935	3385.4744	1598.906	1000.0	931.95	274999	272.3423	62.64165	272.3424	62.6378	-273.2814	14.789278	2814.7670962810516
56	3345.689	27.74398	3372.5327	3294.6924	3378.28	15.7073	3406.1597	3355.888	1000.0	1000.0	279999	273.51364	62.61131	273.51385	62.598267	-274.37476	14.907347	2869.0806605815887
57	3354.787	4.7831	3359.3367	3346.1555	2631.8464	544.25854	3337.9392	1932.6896	1000.0	782.95	284999	274.59354	62.4541	274.59335	62.45077	-275.3948	14.251678	2923.298487663269
58	3343.3315	34.526024	3405.4167	3306.5725	3372.3547	16.24153	3426.3535	3358.7463	1000.0	1000.0	289999	275.59784	62.063755	275.5978	62.056244	-276.3628	13.790357	2978.0416905879974
59	3370.853	28.51709	3408.8506	3330.2969	811.9795	120.14277	884.58307	568.39215	1000.0	270.5	294999	276.43625	61.969837	276.4366	61.96435	-277.291	13.3716	3028.6126420497894
60	3356.9011	21.509428	3391.1997	3333.72	27.554108	1.1874791	30.29074	26.173431	1000.0	22.7	299999	277.6295	61.763283	277.62943	61.75927	-278.41376	13.551809	3077.883843898773
61	2310.4187	1041.0765	3404.5085	880.5221	2926.4546	823.3828	3479.993	992.37177	698.8333	855.3	304999	278.439	61.75778	278.43896	61.749756	-279.09845	14.362591	3132.830552339554
62	3372.1074	15.341036	3398.1938	3357.016	3408.114	4.4855266	3414.9941	3399.5635	1000.0	1000.0	309999	279.15244	61.68718	279.15237	61.685383	-280.02524	14.532454	3186.97820019722
63	3353.836	34.961624	3413.5796	3316.0234	3420.4531	10.004583	3447.1277	3393.9875	1000.0	1000.0	314999	279.86816	61.606625	279.8683	61.600235	-280.6606	14.055507	3239.402209043503
64	2927.1975	1027.5723	3440.1045	630.4637	1348.6367	73.99062	1499.1681	1193.1523	871.1667	408.0	319999	280.60873	61.392494	280.60892	61.386425	-281.30545	14.608531	3290.852153778076
65	3193.813	291.80624	3400.3	2614.4521	3379.6387	7.7960763	3387.782	3356.1506	953.2	1000.0	324999	281.27945	61.396015	281.2797	61.39008	-282.0273	14.21676	3342.0108625888824
66	3279.0227	266.60196	3441.4932	2687.038	2400.3975	663.50653	3333.7146	1408.5397	965.5	710.75	329999	281.92844	61.210445	281.92844	61.205315	-282.69525	13.728599	3396.9486792087555
67	3097.138	641.4553	3446.8103	1815.4227	3484.9539	6.805806	3509.3948	3477.3477	903.4	1000.0	334999	282.63876	60.759106	282.63904	60.75226	-283.39752	13.760242	3447.5193400382996
68	3127.7412	707.4962	3504.3196	1548.2344	3476.821	20.711582	3495.3496	3393.52	913.6667	1000.0	339999	283.37668	60.403954	283.3765	60.399345	-284.0255	12.936681	3502.497925043106
69	3391.2988	42.73148	3451.7805	3319.8547	3410.1106	11.813809	3442.3362	3392.4778	1000.0	1000.0	344999	283.62436	60.61036	283.6246	60.602867	-284.2135	14.3878565	3553.410373687744
70	3406.2488	40.333157	3443.4548	3340.0544	3333.5156	3.487205	3341.3374	3328.3347	1000.0	1000.0	349999	284.0601	60.457584	284.06024	60.45119	-284.757	12.971535	3608.4411277770996
71	3371.0513	18.691227	3395.308	3349.1187	3413.5046	2.806498	3418.6765	3409.3357	1000.0	1000.0	354999	284.91623	60.014164	284.91605	60.01198	-285.58838	13.496442	3659.0642442703247
72	3066.2075	596.75134	3419.642	1878.9465	3514.089	4.656768	3520.8823	3505.5989	913.0	1000.0	359999	285.2647	60.110725	285.26462	60.10937	-285.89456	12.676855	3712.6363441944122
73	3361.556	10.902861	3377.3801	3344.8733	3417.5183	4.2566113	3423.5754	3408.7273	1000.0	1000.0	364999	285.842	59.932278	285.84253	59.93064	-286.40625	12.8679285	3764.9969460964203
74	3375.2104	22.360464	3409.509	3343.9978	3478.5864	3.2352214	3486.3958	3472.5205	1000.0	1000.0	369999	286.26764	59.834213	286.26764	59.83052	-286.87912	12.294491	3817.3945100307465
75	2821.6855	1250.0872	3458.7322	28.100546	3487.6902	15.081952	3518.032	3458.8762	837.3333	1000.0	374999	287.09	59.21015	287.0902	59.20515	-287.7216	13.00998	3871.5110142230988
