Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	126.137886	41.036404	302.0742	83.267365	70.9912	1.8879589	72.138374	67.14449	25.085426	14.8	4999	73.06696	49.416084	73.06813	49.404972	3.9005256	-80.52219	11.734002	0.13770871	2.0133	41.475624084472656
2	123.58982	38.491886	275.81113	78.423935	147.55002	6.786762	159.41145	132.5586	24.549019	30.9	9999	371.64594	185.46466	371.65524	185.39719	21.612402	-411.57602	226.45943	0.2006921	-0.9132879	91.39079737663269
3	189.82576	109.203285	507.087	71.94009	293.4071	9.766873	320.57584	279.3741	39.02362	58.85	14999	845.2063	263.15826	845.1923	263.2899	16.978096	-898.5222	1828.5852	0.37895313	0.0058096345	145.8425853252411
4	374.1738	73.71112	597.6022	219.49484	384.26056	87.055695	602.8662	277.37134	73.55882	74.4	19999	875.7022	296.279	875.6764	296.40582	16.679283	-913.5158	1424.7366	0.30093727	0.09286591	201.4626669883728
5	322.9447	92.59489	639.4256	131.57498	310.79593	44.79842	416.34195	248.36041	63.98718	64.45	24999	733.4186	255.98914	733.3998	256.01392	16.795229	-756.7705	1015.1074	0.21757336	0.044142988	256.346745967865
6	296.5499	83.49403	600.384	162.76312	236.99219	17.379707	294.92865	218.4198	59.2	46.7	29999	577.3663	212.50888	577.3594	212.52104	16.808868	-593.21906	633.0895	0.17099503	0.03258341	310.54858803749084
7	373.13852	115.901924	721.9115	94.993935	316.3126	20.73765	358.52554	274.74323	78.507935	60.8	34999	462.8281	171.94287	462.82895	171.92007	16.817726	-473.6676	404.7321	0.13802148	0.024835467	364.6701810359955
8	382.31973	86.2409	781.33905	173.495	372.10687	28.597296	436.73886	327.82913	72.927536	71.8	39999	379.32385	139.69824	379.3217	139.69452	16.805227	-387.7247	252.42308	0.10918989	0.021034963	419.8442840576172
9	328.83826	68.94123	578.2207	201.31474	361.99713	29.683851	413.1134	316.29694	65.181816	68.15	44999	333.27264	122.09009	333.27466	122.07843	16.934212	-340.1595	180.10458	0.08905063	0.0060854913	475.11937499046326
10	425.65866	99.85578	763.38556	238.61432	497.17255	65.550735	672.5615	367.79684	83.7	99.75	49999	302.43637	116.97993	302.4388	116.96778	16.951738	-308.43912	154.85315	0.08603092	0.004153285	531.5124616622925
11	371.8362	91.88938	601.46173	157.17104	330.842	13.056019	361.91904	312.24442	77.921875	59.8	54999	285.7963	113.11538	285.7985	113.10454	16.95221	-291.01334	142.17865	0.08047452	0.0038577293	586.6902170181274
12	313.2081	97.92502	740.78284	143.4805	307.76694	17.140799	357.57245	286.60382	67.689186	67.0	59999	270.67056	109.43564	270.67383	109.41417	17.006983	-275.26215	136.52783	0.07848013	-0.0005044852	642.307895898819
13	394.73462	106.94331	870.7865	230.39418	414.62592	36.083157	491.28098	348.84232	77.21875	76.75	64999	259.53775	106.54311	259.53876	106.52565	16.91562	-263.96164	131.54144	0.07664301	0.006271356	698.0035395622253
14	423.32678	125.86755	754.53314	187.412	443.69205	109.92001	818.34155	335.33023	83.78333	93.0	69999	253.15903	103.26904	253.15833	103.25614	16.988424	-257.21762	106.66432	0.06779967	0.00084256934	754.8562219142914
15	445.9545	103.634285	757.27625	264.94284	413.42905	31.34852	477.82504	369.25797	87.789474	77.15	74999	248.68253	102.302765	248.68115	102.290215	16.972404	-252.53607	101.531044	0.06802819	0.001909902	810.4272372722626
16	428.2266	93.150734	705.6494	264.51382	361.32922	22.00241	426.32175	330.0436	85.465515	67.75	79999	244.6215	101.926125	244.62152	101.9065	16.953964	-248.222	95.71267	0.064577125	0.002996569	865.9036729335785
