Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	-40.136723	28.62798	-10.5528555	-97.13511	601.1667	-0.4501149	0.33637926	0.97666395	-3.1686282	5000	-0.12312388	45.492073	3.2582207	0.010016707	79.0
2	-4.6332207	30.936146	45.70029	-48.70371	252.45454	-6.048142	5.2327313	8.300771	-23.68061	10000	-0.13749258	106.13085	3.2652903	0.033266757	79.0
3	0.8104439	18.771708	19.151842	-30.497988	459.125	1.8608797	3.768083	13.065059	-13.909043	15000	-0.13731712	30.89521	3.2406328	0.04279513	79.0
4	25.085938	33.1379	81.9908	-25.203207	647.4286	1.0552945	2.1111355	8.636278	-8.8649845	20000	-0.13041967	52.07465	3.2415607	0.05031738	79.0
5	18.3809	28.662066	82.82375	-17.554192	276.22223	3.42759	2.0791407	13.557384	-8.43508	25000	-0.13389906	66.19984	3.1873965	0.05194324	79.0
6	19.805635	38.626476	93.103676	-32.916935	517.3333	4.320632	2.4991474	16.96597	-8.8912	30000	-0.13679563	53.57153	3.1597693	0.027067553	79.0
7	10.498233	32.910942	70.26192	-32.148384	399.25	2.8990238	3.3780518	20.230495	-10.185049	35000	-0.138852	116.50358	3.1298368	0.04439907	79.0
8	1.6204637	37.438293	62.08094	-80.178535	227.0	5.2924337	4.717231	21.334719	-14.255369	40000	-0.14830121	98.04955	3.1067536	0.039469276	79.0
9	29.429777	45.725666	121.79681	-23.326609	396.25	1.8232266	8.0832815	34.4611	-27.14467	45000	-0.14546801	91.4507	3.0879967	0.03973405	79.0
10	44.19829	53.24012	157.24738	-14.208302	499.875	6.9302125	3.8924387	26.331594	-10.909805	50000	-0.13789792	111.38795	3.0374858	0.063717395	79.0
11	69.95884	47.39156	120.19918	-32.06078	710.0	9.800523	3.4394221	24.329695	-6.3509264	55000	-0.14057253	42.636417	3.011656	0.054004394	79.0
12	63.075027	62.254967	171.0616	7.4976387	453.0	9.221326	3.2662425	22.186367	-7.1526885	60000	-0.13758273	55.367023	2.960817	0.029292414	79.0
13	59.236298	52.34517	124.20097	1.5869291	518.5	11.578609	3.272266	29.437733	-5.1576834	65000	-0.1397445	45.725307	2.9228704	0.0408134	79.0
14	74.726425	93.236206	260.5624	-8.175954	403.875	11.288038	2.792775	26.805239	-1.0378088	70000	-0.14380528	80.07776	2.9073906	0.05255915	79.0
15	69.21616	54.801933	170.3957	2.7128594	330.0	15.941589	5.148221	34.849995	-9.939989	75000	-0.14110938	99.1022	2.861829	0.029940775	79.0
16	109.362434	93.699875	285.08392	1.552419	560.7143	12.454615	5.406012	36.81576	-10.872472	80000	-0.14364752	71.50608	2.8266544	0.0409281	79.0
17	74.160904	48.019997	134.16457	-7.7612286	490.0	15.3371105	6.185783	35.99035	-17.984219	85000	-0.14501059	61.414726	2.7830787	0.025246587	79.0
18	70.10333	65.18797	205.80699	6.3695087	362.2857	16.230349	4.2500806	32.00939	-13.178102	90000	-0.14322019	63.430363	2.7477152	0.03499318	79.0
19	111.74363	85.00513	251.49318	0.7201845	497.6	16.739937	3.9382408	35.030163	-24.056942	95000	-0.14125396	45.97028	2.7154765	0.047292836	79.0
20	99.263466	75.292	199.53532	-2.5337498	527.8333	19.29857	3.11633	32.343334	1.2707869	100000	-0.14092913	55.217014	2.6684606	0.027960138	79.0
21	146.1784	104.81264	264.94498	7.5085864	682.6	18.272745	3.2996125	30.440882	-2.458964	105000	-0.13342744	64.624115	2.6378665	0.06904134	79.0
22	129.75525	94.89116	270.25665	2.5798728	548.5714	21.743279	5.5959024	48.110447	0.27515608	110000	-0.13821584	58.281094	2.5848117	0.023097059	79.0
23	158.77234	81.59533	243.79848	22.641727	780.4	20.392372	5.3210382	42.427677	-12.832684	115000	-0.14457563	84.66593	2.5344048	0.03741567	79.0
24	68.650314	55.00575	165.92336	1.6436522	218.5	20.57749	5.1683702	40.983376	-4.5095434	120000	-0.1478595	103.64329	2.4681585	0.03373303	79.0
25	140.28032	84.34497	274.7121	17.776348	588.3333	18.582588	5.287459	39.660187	-5.8409495	125000	-0.14778326	85.12543	2.4603794	0.061407678	79.0
26	145.2004	96.39932	271.0332	32.54732	598.6667	23.064077	5.117396	42.32313	-6.9085283	130000	-0.14429174	58.556244	2.4042742	0.04744119	79.0
27	93.79491	76.34986	261.95605	30.891085	351.875	22.250263	4.4408956	43.352585	-9.217746	135000	-0.14216289	103.539375	2.322014	0.065499686	79.0
28	263.59497	107.850204	432.67615	109.67734	904.4	22.424147	5.629443	47.130314	-2.288121	140000	-0.14959197	106.947014	2.3055017	0.05473451	79.0
29	242.6466	51.056347	323.803	194.48987	886.2	26.932238	7.582915	60.51536	-23.952171	145000	-0.13366401	83.331604	2.2323587	0.02607556	79.0
30	226.5524	39.707314	265.2098	160.4787	1000.0	22.602041	8.99012	57.674282	-28.763828	150000	-0.1432339	38.11625	2.2120323	0.04583286	79.0
31	212.11206	97.751656	266.47113	-5.3146324	831.6667	22.698618	3.7740004	39.7985	3.129393	155000	-0.14316717	38.64033	2.1288326	0.05081186	79.0
32	176.52065	100.95325	294.10886	58.39608	647.8333	24.161125	3.7893364	41.368336	6.1738086	160000	-0.13765815	94.58927	2.0650282	0.06901804	79.0
33	229.29118	138.0746	386.64243	61.56355	622.0	30.601877	8.211555	60.07649	0.7909205	165000	-0.14622697	96.675476	2.0171325	0.038855214	79.0
34	268.4497	132.10487	384.2741	13.053839	819.8	29.2469	6.8071995	55.615414	-2.6049907	170000	-0.14396831	55.991287	2.0002642	0.068944775	79.0
35	139.39308	103.167046	362.28107	17.393618	398.42856	32.804626	6.8791804	67.54023	11.15923	175000	-0.14053634	100.00721	1.9174465	0.03462804	79.0
36	292.3007	133.49425	459.95325	93.28862	760.8333	29.625175	5.1730013	52.155296	-4.5392194	180000	-0.14703178	106.58036	1.8838031	0.059243664	79.0
37	146.45573	123.012825	355.24454	15.650685	371.45456	34.023323	7.257475	64.27176	-8.440947	185000	-0.14238411	125.1107	1.7886873	0.026976554	79.0
38	182.44489	128.69258	434.30008	50.569958	499.33334	31.606762	5.5211735	51.097637	-14.692074	190000	-0.14617231	98.54758	1.7528079	0.05058195	79.0
39	288.24316	115.452736	378.26862	67.09685	746.1667	32.51403	8.360027	58.440796	-3.6419966	195000	-0.14117764	92.97169	1.7079393	0.031205017	79.0
40	218.70036	136.15727	364.7284	17.736553	636.1667	31.202688	10.7375965	68.27949	-3.8722975	200000	-0.14588678	106.10994	1.6306908	0.048926394	79.0
41	214.17754	149.51074	407.20837	25.429083	519.6667	33.734177	5.0395865	52.419033	-8.866304	205000	-0.14052038	83.068115	1.5852242	0.043702483	79.0
42	155.41158	138.18317	371.19702	10.783759	402.0	37.64124	4.4190006	64.51185	5.953713	210000	-0.13669454	110.72194	1.496264	0.017830372	79.0
43	238.68135	143.48802	379.47113	33.299614	651.4	33.27649	5.9127855	55.753986	-4.654909	215000	-0.1337203	71.117714	1.4677685	0.07552786	36.0
44	219.83127	123.08156	381.96802	26.581861	540.4286	37.05558	7.203979	68.92036	-2.9590335	220000	-0.13997573	90.7076	1.4113907	0.033236086	79.0
45	183.05882	141.84265	397.39297	32.079582	426.625	37.83211	7.095795	62.539677	6.9695687	225000	-0.13753833	110.7761	1.3165121	0.04571436	79.0
46	283.4442	140.90335	444.20456	42.957973	656.3333	38.344982	6.2031183	61.599854	12.25759	230000	-0.14073162	76.217865	1.3169092	0.038556762	79.0
47	426.2858	52.94051	513.0737	356.97488	1000.0	37.616756	5.2295265	61.180412	0.19975889	235000	-0.10586649	41.309418	1.3161883	0.07565583	16.0
48	215.51205	143.99298	421.8532	59.530373	535.8	46.181087	6.905808	68.234085	16.07332	240000	-0.13917851	92.07332	1.2100383	0.04195286	79.0
49	346.2894	88.34836	482.80945	247.63824	704.8	37.37679	7.209545	64.28966	-57.044037	245000	-0.14512427	118.28172	1.1546872	0.066491194	79.0
50	221.75816	159.40453	465.7305	15.612907	500.75	41.580456	10.356597	76.18198	3.9111094	250000	-0.13643317	110.99505	1.1450155	0.028544094	79.0
51	318.65054	181.08806	475.4229	13.834918	694.4	38.775204	6.696028	75.33829	-22.287788	255000	-0.115407616	63.7451	1.1288811	0.07500702	21.0
52	157.04907	99.62749	308.82065	58.21862	284.66666	47.50875	8.176604	72.43353	-8.425495	260000	-0.13906859	172.18124	0.9908256	0.030176474	79.0
53	407.77838	162.65947	590.82837	111.220955	821.8	41.082417	9.500696	66.23795	-7.5387197	265000	-0.14473876	140.24953	0.9902682	0.05268188	79.0
54	504.17764	72.80915	622.80725	423.00073	1000.0	45.337414	8.409371	83.249016	1.9572293	270000	-0.146569	64.80437	0.93891025	0.06411166	79.0
55	294.4672	156.1146	537.3682	133.67284	611.8	48.065117	8.170915	77.85294	8.528974	275000	-0.13886802	117.239	0.84708846	0.041104894	79.0
56	476.32135	47.031593	536.37024	412.82776	1000.0	45.193794	8.308578	72.554214	3.9587789	280000	-0.14738043	52.201126	0.8254656	0.061554503	79.0
57	353.239	142.8003	445.73917	68.62369	820.4	46.436325	8.80988	80.774445	5.8756833	285000	-0.14135203	71.14154	0.7444909	0.054879334	79.0
58	344.65945	226.96097	627.6626	94.80591	609.8333	48.557144	6.8709965	71.016235	26.062586	290000	-0.13374077	97.2346	0.7038128	0.03324498	79.0
59	362.43262	138.34027	522.02625	146.85901	797.5	44.454624	11.035797	77.09089	-41.99853	295000	-0.14386848	76.64308	0.6325293	0.05401904	79.0
