Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-1281.3572	107.31037	-1130.5913	-1430.5587	-1152.5857	665.25574	508.2638	-1502.2117	1000.0	1000.0	4999	-3.0125365	3.3643994	-3.0123737	3.3631675	1.4519726	0.2958025	52.09594392776489
2	-1172.6957	95.89196	-995.57324	-1255.7429	-1502.0192	35.18721	-1443.0676	-1572.1057	1000.0	1000.0	9999	11.10831	13.037188	11.109325	13.038277	-15.490379	2.184802	108.36274194717407
3	-1165.4282	361.89615	-495.92233	-1541.1887	-406.95508	107.23178	-233.92952	-688.10126	1000.0	1000.0	14999	55.19724	20.097502	55.199207	20.092625	-60.97071	4.556526	165.2359058856964
4	-1309.9984	406.9505	-730.42725	-1705.227	-1597.309	30.629187	-1545.1442	-1636.9907	1000.0	1000.0	19999	74.89111	18.381422	74.89109	18.378378	-77.03495	4.449496	224.3183889389038
5	-1262.5092	349.6245	-769.82574	-1602.0443	-716.9583	469.61945	665.36176	-987.1012	1000.0	1000.0	24999	80.79045	15.099439	80.79055	15.098063	-83.11435	2.6627495	282.37828278541565
6	-801.9779	367.59924	-454.14328	-1394.8558	-1025.2039	313.52844	-71.425896	-1446.528	1000.0	1000.0	29999	80.52849	8.444387	80.52888	8.43888	-82.5722	2.3908334	342.982547044754
7	-906.4625	238.04105	-545.32745	-1202.9557	-781.64435	563.56903	163.9838	-1514.2736	1000.0	1000.0	34999	75.14036	10.402249	75.140564	10.398893	-76.680824	2.068686	403.9188828468323
8	-81.87114	427.09283	468.3587	-586.01117	280.853	420.20828	506.62082	-1423.4945	1000.0	1000.0	39999	68.42735	12.693291	68.42746	12.690165	-70.120224	2.333151	462.74285554885864
9	402.33218	102.52313	504.06924	240.43858	368.22687	114.230354	487.4737	91.55592	1000.0	1000.0	44999	68.67561	12.4022665	68.67564	12.400273	-70.53239	2.0303307	521.2289388179779
10	83.18459	615.6208	491.88037	-1132.8158	-254.02548	730.22174	603.0007	-1491.8612	1000.0	1000.0	49999	68.0057	10.582471	68.005905	10.579414	-69.556274	1.9270442	579.4652049541473
11	44.770866	375.3796	453.09692	-589.4538	206.11592	529.7864	776.6201	-1175.4818	1000.0	1000.0	54999	64.806274	9.393335	64.80644	9.390461	-66.045715	1.6409483	637.7215518951416
12	320.6834	157.944	467.3529	18.085491	190.78943	675.3445	645.2624	-1329.7574	1000.0	1000.0	59999	60.41102	9.412298	60.411255	9.409539	-61.563236	1.5474195	696.4369523525238
13	379.3939	149.58572	551.50903	136.32077	542.1402	65.49512	613.20264	337.05087	1000.0	1000.0	64999	57.115444	9.7805805	57.11558	9.777913	-58.25705	1.3479574	755.526337146759
14	505.07794	120.59537	605.3058	270.9275	481.3776	71.123116	614.8219	359.99863	1000.0	1000.0	69999	54.88403	9.898177	54.88393	9.896346	-56.003643	1.2673174	816.1895456314087
15	457.33917	54.279976	518.52686	376.892	472.18622	69.81343	546.26044	263.89075	1000.0	1000.0	74999	53.64268	10.005736	53.64264	10.004004	-54.767307	1.2219535	876.6699233055115
16	483.1961	59.76138	551.4138	404.25644	534.44116	47.5552	673.4493	451.79846	1000.0	1000.0	79999	52.75125	10.101374	52.751236	10.100326	-53.76589	1.1221781	936.4646034240723
17	592.89734	21.09668	627.10175	562.6737	612.7042	30.914055	669.8493	559.6466	1000.0	1000.0	84999	51.81289	10.203609	51.813015	10.20169	-52.78705	0.99913967	994.4356582164764
18	610.2484	31.478804	652.31744	558.0259	697.93256	66.78277	766.0052	559.9076	1000.0	1000.0	89999	51.597248	10.003765	51.59721	10.002419	-52.596836	0.93367296	1051.8988094329834
19	568.0487	41.665287	635.6666	521.75305	448.9085	30.781708	579.5624	432.64365	1000.0	1000.0	94999	51.76243	9.687407	51.76237	9.686359	-52.686462	0.8574941	1110.3844430446625
20	552.28876	44.208164	610.00696	480.12024	649.5165	48.6574	720.4017	557.384	1000.0	1000.0	99999	51.71274	9.6266985	51.71267	9.625822	-52.641	0.79612297	1168.946141242981
21	601.3602	49.43976	680.96063	547.53357	646.38293	59.85489	753.12933	557.50104	1000.0	1000.0	104999	52.014984	9.61405	52.014935	9.6136	-52.941986	0.7724832	1227.4121572971344
