Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	-260.6476	30.326529	-223.8789	-308.3679	24.760754	37.61826	78.66435	-66.94264	1000.0	1000.0	4999	4.4377794	3.0604057	4.439254	3.0638678	-1.9437919	-5.15401	0.40474883	0.1279872	1.0464917	54.0818829536438
2	-217.80318	40.385983	-151.36888	-264.90662	-259.58417	76.252365	-75.40867	-463.51755	1000.0	1000.0	9999	13.38528	5.6507144	13.385781	5.6514845	2.870344	-14.263721	0.7347414	0.05511053	0.19116999	113.21736145019531
3	-248.29033	69.613365	-151.83337	-365.38403	77.240005	73.39514	245.54395	-132.25995	1000.0	1000.0	14999	20.289408	10.349808	20.289751	10.350691	4.1786084	-20.722765	1.0717721	0.025929304	0.04331281	178.6836941242218
4	365.25125	250.11432	656.54614	2.8854644	935.1084	155.95601	1191.9275	604.88043	1000.0	1000.0	19999	18.253727	12.443288	18.253946	12.44407	5.115297	-18.464924	1.0237664	0.009371898	0.009402965	245.95202684402466
5	1164.2599	299.29272	1704.5962	822.16656	1465.4731	319.9484	2096.953	591.7184	1000.0	1000.0	24999	21.5803	16.469526	21.580341	16.468836	6.1823783	-21.863441	1.3885305	0.010788881	-0.0019155123	309.5517649650574
6	1467.7083	772.8271	1977.6843	-64.32573	2009.3582	421.35236	2324.0867	215.66513	1000.0	1000.0	29999	30.956453	24.67891	30.956707	24.67784	6.1173315	-31.319176	2.6377428	0.020636756	-0.0023183026	373.10774874687195
7	1989.7689	653.09955	2502.711	739.5806	2042.7399	632.1689	2637.42	198.47285	1000.0	1000.0	34999	45.63533	33.991806	45.6363	33.990562	6.0916257	-46.01615	3.9634094	0.031566262	-0.0027943093	441.32809138298035
8	2046.8893	848.384	3037.804	998.54706	2362.4734	1012.6133	3501.4128	-419.3422	1000.0	1000.0	39999	61.550964	42.67858	61.550938	42.67869	6.0366073	-61.92185	5.637364	0.040386513	-0.0014469207	508.7682693004608
9	2973.1028	163.30568	3181.651	2775.1394	2767.1763	998.1318	3686.947	170.61798	1000.0	1000.0	44999	77.15382	52.32048	77.15317	52.32072	6.0331507	-77.48028	7.470603	0.045601938	-0.0015134763	573.0984992980957
10	3392.918	182.8017	3666.6355	3187.6602	3544.2188	147.8266	3798.6958	3283.521	1000.0	1000.0	49999	96.26226	60.397373	96.2617	60.398262	6.038951	-96.55428	9.050092	0.053440772	-0.0020736237	635.8591561317444
11	3471.9448	202.5466	3697.3384	3104.3564	3413.3042	801.06177	4122.191	404.82593	1000.0	1000.0	54999	115.52009	66.62494	115.51956	66.62536	6.031814	-115.78223	10.094109	0.06226061	-0.0019683538	703.3243978023529
12	2851.2466	1345.6188	3712.1592	180.71997	3996.9207	86.2918	4147.7964	3818.7678	1000.0	1000.0	59999	132.23323	71.55814	132.23242	71.55856	6.0154576	-132.45357	11.0896015	0.069487765	-0.001054919	767.2293207645416
13	3827.5469	138.74391	4073.0823	3675.2905	3283.5227	1275.0839	4427.108	90.97537	1000.0	1000.0	64999	146.95221	76.81078	146.95135	76.81035	6.024397	-147.11372	11.502166	0.07498289	-0.0018188804	828.1004478931427
14	3875.6145	338.9663	4353.9644	3309.105	4204.1562	136.87056	4391.5537	3869.741	1000.0	1000.0	69999	161.91684	80.77667	161.91603	80.77604	6.0129094	-162.04877	11.670791	0.081334144	-0.0010384612	894.2728843688965
15	3811.0059	1047.0331	4642.2603	1754.3523	4081.841	1020.81256	4767.3438	1055.4824	1000.0	1000.0	74999	176.58218	83.93927	176.5816	83.93739	6.018312	-176.68066	11.854925	0.08739961	-0.001578509	957.2911608219147
16	4578.5396	191.4197	4894.2544	4359.142	4497.0327	262.67606	4753.1294	3533.3953	1000.0	1000.0	79999	189.0796	88.17165	189.07909	88.16888	6.0133123	-189.14615	12.406066	0.092110105	-0.0012276323	1020.7097737789154
17	4575.714	392.53308	4937.697	3813.263	4708.116	1037.8264	5283.6133	249.31395	1000.0	1000.0	84999	202.2685	91.581085	202.26788	91.57816	6.016294	-202.29414	13.340062	0.09972015	-0.001602721	1085.7887334823608
18	4977.1157	198.90135	5339.8267	4731.626	5524.4277	414.79498	5919.984	3960.1262	1000.0	1000.0	89999	215.2561	93.94169	215.25552	93.939095	6.0203686	-215.2326	14.298256	0.108103245	-0.0021726103	1149.4778785705566
19	5190.294	97.96277	5275.1553	5004.057	5855.546	191.45056	6261.6743	5439.1553	1000.0	1000.0	94999	228.19357	95.921486	228.19275	95.91934	6.011251	-228.13768	14.736875	0.11495276	-0.001281104	1209.7625946998596
20	5563.951	193.56857	5828.057	5240.443	5763.2837	222.02866	6043.9507	5119.457	1000.0	1000.0	99999	240.74457	98.48139	240.74367	98.48004	6.0074396	-240.67717	15.095169	0.118138894	-0.00087818253	1272.9062457084656
21	5638.0186	126.2448	5818.019	5498.891	5247.5356	1176.8862	6194.779	2023.7063	1000.0	1000.0	104999	254.04135	101.23141	254.04068	101.230064	6.014106	-253.96214	16.264757	0.12534018	-0.0017568235	1336.5582284927368
22	5413.005	740.93097	5945.605	3958.6208	6282.1436	1030.8265	6741.4395	1826.5471	1000.0	1000.0	109999	266.78732	103.97714	266.78647	103.975685	6.0142865	-266.6891	17.32644	0.13362023	-0.0018934842	1398.258616924286
23	5390.4326	1139.71	6069.238	3118.453	5973.9126	160.56696	6265.7485	5662.309	1000.0	1000.0	114999	276.93497	108.19573	276.93417	108.19458	6.00906	-276.81186	18.538755	0.13907276	-0.0012596363	1465.3726272583008
24	5900.0044	142.62262	6160.8457	5773.5083	6374.5625	142.56485	6622.0947	6052.6514	1000.0	1000.0	119999	288.5433	110.26644	288.54266	110.26479	6.0120792	-288.38974	18.911718	0.14549321	-0.0017621963	1531.5309612751007
25	6057.781	169.57928	6308.7007	5856.245	6058.41	1139.2358	6598.9893	1128.171	1000.0	1000.0	124999	299.3086	111.43602	299.308	111.43413	6.008194	-299.10358	19.175076	0.1522213	-0.0012451035	1596.7973763942719
26	6190.6045	150.52707	6396.1846	5938.534	6463.546	741.1755	6903.7134	3286.078	1000.0	1000.0	129999	309.3344	112.370995	309.33368	112.368904	6.001902	-309.10776	18.711428	0.1563978	-0.00028392178	1662.0114929676056
27	6288.7534	170.25972	6606.3374	6115.1157	6733.9634	139.69041	7017.111	6439.904	1000.0	1000.0	134999	318.7853	113.404854	318.78513	113.40222	6.006107	-318.53598	18.297178	0.1583927	-0.00096053845	1726.2627594470978
28	6455.574	87.644684	6532.4307	6287.3706	6791.375	115.93918	6963.1	6537.8467	1000.0	1000.0	139999	328.36572	113.97372	328.36472	113.9714	6.002217	-328.09506	17.791706	0.16278267	-0.00034635924	1788.0451865196228
29	6516.8916	39.051304	6565.379	6452.689	6811.357	93.829025	7014.278	6658.643	1000.0	1000.0	144999	337.55872	114.9804	337.55853	114.97888	6.0032134	-337.277	17.23995	0.16531257	-0.0005142121	1853.0291407108307
30	6484.8857	176.49297	6733.9453	6303.647	7030.7314	651.7804	7433.0024	4275.52	1000.0	1000.0	149999	346.74454	116.12859	346.7442	116.126625	6.0092726	-346.4485	16.81165	0.16909312	-0.0015523153	1917.5073373317719
31	6714.749	84.677185	6819.6167	6611.7036	7227.072	118.525856	7478.374	7043.438	1000.0	1000.0	154999	355.6287	116.5855	355.6286	116.58363	6.0011835	-355.3136	16.538631	0.17333283	-0.00018840359	1978.3058772087097
32	6977.4766	230.17949	7215.2383	6621.836	7462.3877	168.02428	7695.139	7131.12	1000.0	1000.0	159999	364.26917	117.51113	364.2686	117.50968	6.0016303	-363.96313	16.288345	0.17522623	-0.00026769738	2041.950665473938
33	6845.9814	248.83696	7298.858	6533.92	7549.0728	205.4787	7856.9233	7073.588	1000.0	1000.0	164999	373.53146	118.32301	373.53183	118.321045	6.0064507	-373.215	16.19212	0.17849319	-0.0011283192	2104.99401307106
34	6965.458	217.31061	7289.319	6606.846	7396.553	585.14856	7917.4	5015.477	1000.0	1000.0	169999	381.8502	119.055115	381.8502	119.05317	6.008333	-381.49994	16.504238	0.18298432	-0.0015096552	2165.4786171913147
