Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	18.829405	18.645859	180.94559	4.403019	161.5956	4.703078	168.25412	151.83644	22.728111	79.6	4999	15.974741	13.980089	15.973473	13.980496	1.5724342	-18.481075	2.6005406	0.1508525	0.24433322	38.241538286209106
2	19.751406	19.602743	168.75218	4.1404915	195.26828	1.8365414	198.87029	191.71158	23.224771	99.7	9999	142.46533	81.73925	142.46739	81.73546	3.9455216	-160.1072	127.84164	0.34105214	-0.31353244	82.57049250602722
3	176.72227	88.008415	398.01404	53.75177	60.539856	0.8869266	62.219727	58.71892	105.23404	62.65	14999	379.4383	106.028534	379.43826	106.049614	2.9599595	-403.40723	568.8555	0.6679019	0.017336145	129.67179012298584
4	233.13374	118.54634	510.44556	34.35706	271.81424	3.5946953	277.65903	265.5186	134.91891	128.55	19999	429.77725	113.92546	429.788	113.92849	2.9506166	-446.1862	589.2939	0.4419542	0.023004867	177.14358568191528
5	234.24242	68.95833	436.46127	28.17876	320.36044	19.7085	392.11328	305.29254	115.15909	162.1	24999	434.1634	117.22797	434.16486	117.30409	2.9804602	-448.3581	435.69916	0.44701084	0.008125981	224.92319464683533
6	303.13135	26.603262	390.9901	251.5627	252.8073	2.1544569	256.85797	249.50323	150.54546	117.9	29999	401.96164	128.40353	401.96127	128.47481	2.9873712	-412.85794	288.5906	0.36576495	0.004861725	272.34346985816956
7	281.26266	18.57492	319.8172	237.55136	267.65753	16.32168	279.4072	237.77051	139.08333	126.35	34999	367.8644	137.59071	367.8696	137.64618	2.9723363	-377.27176	198.90726	0.34602705	0.009627179	319.82311248779297
8	71.03832	117.99796	434.66904	3.1897185	443.8474	193.22179	873.7229	118.624374	66.27027	377.6	39999	330.78064	136.56044	330.7829	136.61716	2.9566631	-338.4742	178.89592	0.28203607	0.012490553	371.4466655254364
9	846.4873	210.29797	1005.9434	403.32455	992.03503	1.4575733	995.71045	990.08777	803.5	1000.0	44999	299.88956	118.75825	299.8896	118.79318	2.9743717	-306.57794	130.4271	0.24957497	0.006154243	423.213978767395
10	908.3919	272.97134	1095.9497	301.81482	1019.3029	0.38132894	1020.0688	1018.5941	878.3333	1000.0	49999	279.54108	102.08958	279.54102	102.12436	2.9806828	-285.06577	77.47674	0.21545601	0.004069313	475.2386884689331
11	674.8638	399.26193	1112.9867	221.2926	1055.1702	0.49508053	1056.0299	1054.2317	573.75	1000.0	54999	264.55344	91.793	264.5551	91.82083	2.9688518	-269.4889	52.038933	0.19007322	0.005639304	527.1844861507416
12	964.2109	271.96524	1193.5818	366.53177	728.50366	35.65106	803.2486	655.01587	862.1667	535.0	59999	249.23582	84.15046	249.23528	84.180305	2.9519439	-253.2202	39.868652	0.13463736	0.0069501754	576.8751637935638
13	813.6993	426.27792	2016.2031	403.55536	1291.801	373.40952	2086.8057	643.4374	460.81818	600.5	64999	231.47975	77.20299	231.47968	77.21803	2.9996815	-235.00435	31.2259	0.12284556	5.255041e-05	628.441620349884
14	1000.06616	392.96255	1828.5482	527.2112	1053.0277	308.76163	1450.8348	353.99933	578.5	725.95	69999	217.03377	70.44807	217.03375	70.45816	2.9600945	-220.1393	27.438807	0.11511725	0.0044299853	679.8594534397125
15	1119.6006	121.88643	1359.8302	1034.7996	1067.8574	111.75486	1417.0608	825.2718	994.0	945.55	74999	202.90504	60.746212	202.90573	60.767952	2.9460964	-205.40273	25.222738	0.08272458	0.004498751	731.7254781723022
16	595.9015	272.77258	1232.313	205.83575	828.7824	285.2033	1159.2903	353.8779	369.2	703.6	79999	189.99472	52.055576	189.995	52.06836	2.9875607	-192.16364	19.224148	0.06810148	0.00084158144	783.3988597393036
17	434.79907	236.5787	1120.8966	211.63513	585.4415	217.43787	1149.2687	348.3097	234.14285	368.4	84999	179.69795	47.431705	179.69943	47.4425	2.9982505	-181.65857	17.148277	0.06372464	0.00011808033	833.8435425758362
18	324.9829	72.17233	694.0887	268.17	311.09906	0.8665586	313.11478	309.63803	152.27272	136.15	89999	172.36469	46.50861	172.36586	46.517822	3.0036433	-174.22556	15.323335	0.06434028	-0.00022898066	881.8745980262756
19	486.9975	244.30565	1120.4913	292.1771	846.81885	325.1893	1462.2444	393.35855	197.8	295.15	94999	167.68387	47.411102	167.68423	47.41808	2.984756	-169.3879	14.25794	0.061384223	0.0009519308	930.954592704773
20	559.88965	293.3693	1194.1382	180.6076	1151.2483	417.2925	1647.8218	427.67172	288.13333	722.7	99999	164.21416	46.41532	164.21483	46.42237	2.9923244	-165.75568	14.0202465	0.059049327	0.00044458403	981.8086729049683
21	869.0061	430.3656	1653.183	172.75113	1104.172	328.16156	1697.0077	554.0613	456.91666	535.5	104999	161.69615	44.438095	161.69666	44.4448	2.9990842	-163.09834	13.060918	0.054199733	5.466788e-05	1032.377202987671
22	837.49036	213.35748	1165.7123	517.62024	854.776	269.37726	1488.8853	408.3013	359.07144	354.25	109999	159.55914	42.712704	159.55882	42.71577	3.0054061	-160.90598	12.118603	0.05739407	-0.00030174857	1081.7208561897278
