Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
39	197.84819	144.32649	432.37402	-3.3547695	460.6	37.311295	8.074086	68.16576	11.312917	195000	-0.14694025	145.43954	1.597324	0.05054132	79.0
40	352.6976	83.02493	503.513	276.8085	928.2	37.11495	8.938889	66.64646	5.4734664	200000	-0.14769322	92.9505	1.5589643	0.047016766	79.0
41	145.45868	110.47854	321.16388	-1.99045	334.1111	40.835194	8.378443	66.1429	-0.44523412	205000	-0.14297694	171.02396	1.4685556	0.028998444	79.0
42	259.3918	125.10539	483.0608	59.411716	544.8571	36.235836	9.295157	69.78273	-3.5916424	210000	-0.1458923	142.91034	1.4246123	0.042129166	79.0
43	193.60452	154.84143	523.7477	23.349417	413.0	41.426105	8.741596	83.26576	9.535148	215000	-0.14101468	149.96991	1.3526927	0.03757225	79.0
44	243.17667	137.42256	459.31213	57.71015	517.875	40.51146	10.326418	78.68267	-4.204638	220000	-0.14194141	139.50923	1.2755026	0.041850336	79.0
45	96.49091	55.2712	197.35187	14.4003105	163.18182	41.894245	8.976715	78.09478	9.550555	225000	-0.14137341	139.14462	1.1848288	0.014981497	79.0
46	289.51047	193.46754	635.496	26.081673	588.2857	40.81022	7.0156302	68.52331	6.503437	230000	-0.13810565	169.21266	1.1490649	0.033748448	79.0
47	291.3377	183.8782	541.1119	49.704365	574.7143	43.35757	10.03818	85.06276	-13.093625	235000	-0.13952225	104.378876	1.1082703	0.051844746	79.0
48	440.51416	122.412	618.98505	260.5708	803.6	48.710754	9.849037	84.21822	16.12544	240000	-0.14369337	96.195274	1.040026	0.051122125	79.0
49	329.03317	156.75017	578.8684	159.52968	593.125	52.024643	10.62451	83.75147	18.902353	245000	-0.13827918	134.23628	0.9667084	0.04514541	79.0
50	332.51834	242.59314	636.9125	74.53433	578.0	49.24309	10.083973	88.91581	-14.179201	250000	-0.13944878	144.8611	0.9193095	0.04822741	79.0
51	574.062	116.20937	678.44965	378.24887	924.0	51.859455	10.774916	90.423904	6.836822	255000	-0.14649467	123.03715	0.8801381	0.06117433	79.0
52	294.60358	237.95158	739.6248	5.8928123	520.25	57.769012	13.046066	87.653824	9.790694	260000	-0.1320203	173.15103	0.80577266	0.020678297	79.0
53	251.24872	186.54971	535.53625	12.810323	409.375	53.670425	14.095962	91.58905	-69.221565	265000	-0.13374971	110.02235	0.73896825	0.024158474	79.0
54	541.294	210.03984	783.0526	210.0196	860.6	53.017654	14.015945	90.46728	-0.81744236	270000	-0.14087296	97.24401	0.70514685	0.055144142	79.0
