Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	124.77346	37.51982	271.12683	78.65753	71.65086	0.12913151	71.83959	71.35025	24.850746	15.0	4999	91.96783	75.1468	91.9709	75.16424	8.345636	-105.68685	21.464817	0.14733401	1.4546759	42.55165410041809
2	117.70804	34.302128	250.83475	78.44971	71.82908	0.08726242	71.99163	71.65134	23.478872	15.0	9999	581.7388	247.01729	581.7495	246.98274	21.50914	-640.9771	554.0301	0.31447273	-1.2614596	92.11908507347107
3	221.82542	92.381836	536.19464	81.58801	205.91621	24.928041	250.80476	153.4832	44.669643	40.15	14999	1165.2554	348.82596	1165.2281	349.0774	16.78293	-1235.8912	2879.8772	0.5186618	0.10821631	146.90430998802185
4	243.74466	86.83362	552.8674	109.53889	325.076	34.199158	415.68704	271.20483	48.82353	65.35	19999	1091.1348	375.437	1091.1299	375.65656	16.655504	-1132.459	3328.4377	0.35977098	0.13185935	201.57089614868164
5	273.19284	98.30822	635.9941	120.89957	424.5916	58.078537	551.677	355.24197	53.159573	82.05	24999	821.61176	298.02707	821.60516	298.2394	16.873205	-850.9278	1959.1996	0.30080825	0.03767372	257.3624324798584
6	333.1607	81.60349	525.4552	189.84647	409.3663	67.57405	561.91907	319.8087	64.26923	86.5	29999	663.38275	241.1691	663.387	241.29655	16.767012	-684.8703	1046.4045	0.23699385	0.054976795	313.0296950340271
7	337.75745	124.906006	622.95557	82.55587	420.79095	113.142395	641.95703	251.94139	68.0274	82.4	34999	537.09924	193.33365	537.0981	193.43988	16.743362	-551.8619	664.9443	0.17308015	0.044827178	369.028000831604
8	427.94644	143.17476	914.1985	238.05447	304.35727	25.14988	374.38907	270.81256	89.23214	67.7	39999	437.56985	156.65356	437.5664	156.69847	16.8584	-448.0345	448.29944	0.13640328	0.019248132	424.21084856987
9	340.28928	132.28072	802.27747	82.33433	225.98462	12.031499	264.60733	205.84195	68.65753	48.95	44999	377.76447	134.89828	377.77246	134.89014	16.882555	-386.228	327.88223	0.11479507	0.013478281	478.7841057777405
10	375.87543	99.639984	844.2837	240.78119	331.14566	41.553455	409.8174	271.7581	78.046875	67.05	49999	340.22476	122.72799	340.22946	122.71411	16.999802	-347.37164	266.39957	0.10358756	8.232899e-05	534.0070476531982
11	333.67435	95.2896	759.1413	193.73135	409.5572	116.43243	663.1903	287.9608	64.61039	86.05	54999	318.5287	114.189	318.53174	114.18006	16.887087	-324.90234	226.0857	0.10105225	0.011168755	589.9887425899506
12	388.35553	87.99093	598.62054	237.76418	382.3933	80.50505	611.2547	269.15784	81.90164	82.35	59999	300.5702	107.08627	300.57593	107.089935	16.982285	-306.26736	197.8447	0.089029685	0.001640445	645.8672926425934
13	418.58798	128.15004	913.83887	239.04887	400.17853	33.22684	469.84903	346.46915	86.56896	75.35	64999	286.59418	105.506775	286.59525	105.522415	17.000364	-291.6485	173.66428	0.09106411	1.1064148e-05	701.6209700107574
14	413.52478	100.86571	696.83093	220.28319	310.76675	45.22055	439.00415	250.45753	83.96667	66.8	69999	275.72266	103.04407	275.72455	103.05697	16.91493	-280.38354	150.26656	0.08431867	0.007236235	756.5369036197662
15	412.31674	101.46927	727.4635	274.7409	483.33344	121.52697	816.4311	342.52524	82.88333	99.3	74999	269.05725	99.13906	269.05774	99.14162	16.946012	-273.4068	142.07028	0.07760757	0.00422009	813.6895837783813
16	395.36612	95.18624	640.5092	241.0193	249.02979	12.153832	276.4833	222.67065	78.5	47.5	79999	262.20975	98.47713	262.2107	98.48597	17.011116	-266.29626	127.020035	0.07607352	-0.00080885144	868.5828294754028
17	358.14386	87.37467	732.677	226.87624	492.27603	69.30715	623.26013	405.18948	68.60274	91.85	84999	257.03027	100.29232	257.03073	100.30431	16.985779	-260.9334	119.222824	0.07341958	0.001103911	924.634996175766
18	417.94675	91.03538	730.343	296.4304	301.54538	42.407597	427.2909	254.40923	81.803276	58.1	89999	252.87296	101.182526	252.8732	101.202446	16.978739	-256.65573	114.1888	0.07407301	0.0015970188	980.1374039649963
19	405.02234	85.10303	675.142	254.63042	391.43124	89.98592	718.8806	304.5589	80.145164	78.65	94999	247.0044	100.596245	247.00485	100.61465	16.933828	-250.40527	108.3613	0.06731863	0.0045946124	1036.3917553424835
20	438.95554	96.59695	754.8319	288.57233	464.20273	62.22056	625.8533	359.8802	85.13793	87.1	99999	240.42093	99.75425	240.42363	99.76368	16.978512	-243.58665	104.5815	0.067790166	0.0014323118	1092.3081035614014
21	425.26715	125.29131	781.10516	247.90771	406.36765	72.01825	577.8122	271.28256	86.27119	79.35	104999	236.2279	98.854675	236.22897	98.854965	16.993893	-239.20065	102.2457	0.06379973	0.00042584163	1148.019439458847
22	446.2448	104.35041	740.0779	251.60425	395.525	38.123154	463.8798	338.82922	89.625	76.4	109999	230.56102	98.12571	230.564	98.11961	16.991201	-233.2862	99.34129	0.062657945	0.0005871236	1203.6209845542908
23	406.27863	97.87172	813.16974	252.4962	386.3912	45.550774	459.34818	304.5922	78.28571	75.05	114999	226.07095	96.50478	226.07257	96.4989	16.956173	-228.68355	93.634705	0.06038727	0.0026972278	1258.8923923969269
24	419.14584	104.305626	768.4466	250.04738	437.59433	102.149345	670.4538	285.3727	82.65574	87.35	119999	223.50005	95.34976	223.50093	95.349525	16.997616	-225.98454	91.64192	0.057463463	0.0001708467	1315.1139540672302
25	436.01825	94.58301	720.3501	280.3443	382.98492	57.171227	570.2696	326.1732	85.169495	80.9	124999	221.55208	95.24377	221.55215	95.2506	17.022966	-223.9315	89.01801	0.059187416	-0.0013382642	1371.4818422794342
26	416.36887	95.46956	722.96765	271.58414	539.994	90.15201	869.41724	461.5027	81.508194	101.6	129999	221.0798	95.71097	221.07918	95.71515	16.949574	-223.44235	87.651924	0.057184547	0.0029804353	1428.062355518341
27	437.3086	126.535736	819.9299	163.81023	333.79755	45.589603	409.08246	253.23216	85.81035	65.65	134999	220.3688	96.04712	220.36923	96.05234	17.00101	-222.713	88.609215	0.05449389	-2.4863053e-05	1483.3875479698181
28	450.73178	117.72662	832.4951	235.20879	339.90546	20.574327	391.53677	308.8775	89.53571	63.55	139999	220.13104	96.20005	220.13162	96.20093	16.939062	-222.34235	88.96457	0.052564953	0.003309742	1538.2928292751312
