Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	457.60638	55.214638	523.49915	358.11017	234.57259	45.006084	308.09705	146.92378	964.6	1000.0	4999	4.2482195	2.732751	4.2482014	2.732666	-4.709989	0.013853197	58.12999963760376
2	271.65875	191.73407	506.63635	20.141335	224.26274	60.140854	302.51733	102.00197	569.8889	1000.0	9999	18.997696	8.496462	18.99776	8.496391	-20.962479	0.24594869	120.2212381362915
3	341.0136	51.756622	398.98007	255.93642	225.95076	60.907055	373.37292	185.09833	1000.0	1000.0	14999	48.599358	14.755166	48.59952	14.7542925	-51.00023	0.8666496	186.07023119926453
4	383.20483	80.963295	522.02515	267.96658	438.86566	11.589192	468.14554	420.434	1000.0	1000.0	19999	68.21363	12.679289	68.21363	12.681741	-69.99994	0.7069168	249.14846682548523
5	386.68347	85.314156	472.5101	227.84996	400.3696	99.78027	605.4568	117.917404	897.6	1000.0	24999	83.790375	16.039686	83.790276	16.039143	-85.72411	1.039425	316.5370132923126
6	414.78467	59.75906	493.07297	338.73355	423.39087	40.709736	472.37375	360.45883	1000.0	1000.0	29999	99.57511	20.299665	99.5751	20.298834	-101.48534	1.0960922	380.10385274887085
7	401.9957	55.839695	508.83786	346.47168	388.43613	102.52107	548.03577	100.87633	965.4	959.95	34999	119.477516	25.898016	119.47762	25.898407	-121.6944	1.3773342	441.60444355010986
8	246.25677	95.84638	364.17108	82.891655	194.50398	133.5737	479.5641	27.321611	866.6667	527.3	39999	134.01944	24.467962	134.01965	24.468008	-135.86807	2.4388762	504.2500901222229
9	294.93088	177.27477	564.67126	41.625153	154.14291	98.964485	407.56656	34.707386	864.5	960.45	44999	142.75075	20.494059	142.75078	20.494772	-144.46616	2.4184036	567.7409174442291
10	203.79485	90.01935	315.31183	42.60009	374.4167	134.31671	577.96387	22.08848	711.7143	953.3	49999	145.18996	17.067162	145.18996	17.065956	-146.64001	2.9919827	634.1293630599976
