Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	19.840502	3.1773264	32.190212	3.6499054	72.98089	4.886325	83.73085	64.65839	11.890215	45.7	4999	9.831781	6.568921	9.830986	6.5676327	-11.155012	0.2281247	32.72319412231445
2	19.66067	2.9782903	29.136648	4.3658557	80.94899	4.3155775	91.85366	71.97368	11.664335	59.8	9999	20.175163	10.633627	20.175299	10.631662	-22.271261	0.29535532	65.88769817352295
3	105.23578	82.00009	766.321	58.771458	118.05754	3.0197713	124.43073	113.370255	71.840576	67.65	14999	31.188515	13.616142	31.18909	13.610823	-33.835358	1.5218233	107.07017660140991
4	125.87814	10.191588	158.23753	105.86351	123.84884	6.5753927	135.44115	109.861305	69.55556	70.75	19999	40.574783	16.370335	40.5749	16.368612	-43.216305	1.0499341	143.1355903148651
5	128.80888	13.412665	159.74677	98.970345	154.67917	7.137256	168.39308	142.98874	72.04348	79.85	24999	48.87238	18.827744	48.87236	18.826115	-51.460995	1.3444004	184.11153173446655
6	153.48438	52.12823	494.58655	91.23594	182.28976	17.689045	208.31497	150.77405	85.60345	98.9	29999	55.380543	21.103245	55.380363	21.101648	-57.853764	1.6598766	221.1955921649933
7	266.13367	133.56891	620.7192	118.302605	338.74487	54.275986	443.0529	212.51633	160.65517	201.8	34999	60.37435	22.904806	60.374138	22.903265	-62.66459	1.9888592	262.73362731933594
8	700.49164	366.39432	1627.4004	313.71353	585.0343	488.3572	1972.3564	154.87393	482.27274	299.05	39999	65.36558	23.69437	65.3654	23.693338	-67.531364	2.1458719	313.2409813404083
9	1032.5127	443.92978	1678.9222	299.65387	502.2995	186.21593	806.4383	204.37646	630.375	351.75	44999	70.70304	24.569286	70.70291	24.567825	-72.77614	2.1215107	361.76645374298096
10	1018.8924	374.3441	1487.7365	514.9373	1332.126	430.80206	1610.0055	402.2445	661.1429	851.95	49999	76.37678	25.934542	76.37662	25.932848	-78.405785	2.401264	410.1543984413147
11	993.54285	555.66364	1808.408	204.25677	1664.7867	314.99524	1904.7806	537.2371	527.1	907.1	54999	81.62237	27.429836	81.62194	27.430265	-83.59915	2.6065052	463.104544878006
12	1853.4993	22.898857	1878.7537	1816.4575	1878.8744	474.1502	2106.999	420.7801	1000.0	920.95	59999	87.42042	29.164783	87.4202	29.165642	-89.41511	2.4146101	512.0124614238739
13	1876.5176	36.52746	1911.1031	1807.9681	1794.6038	10.848546	1815.8997	1772.6349	1000.0	1000.0	64999	93.77491	30.601126	93.77468	30.601748	-95.73036	2.3927224	560.4037623405457
14	1816.0375	31.598717	1858.4681	1765.5043	1743.0364	13.475334	1770.7308	1720.3109	1000.0	1000.0	69999	100.03908	31.899065	100.03887	31.899769	-101.96692	2.4357712	610.5770490169525
15	1789.7207	45.96838	1828.4996	1699.9176	1604.8385	11.541132	1632.2577	1587.4802	1000.0	1000.0	74999	105.7025	32.997963	105.70235	32.99837	-107.6401	2.4582753	662.5104813575745
16	1849.517	66.92763	1917.1984	1732.2227	1879.7197	13.548775	1912.8091	1847.3351	1000.0	1000.0	79999	110.99518	33.714954	110.99506	33.715282	-112.8175	2.5547657	710.9311504364014
17	1655.0035	569.10736	1952.6267	517.33936	1966.0629	70.43835	2004.4932	1668.8121	851.2	991.4	84999	115.90454	34.390697	115.904366	34.390537	-117.65883	2.596053	759.4997866153717
18	1881.2523	228.5529	2051.2146	1383.0793	2062.9114	14.521036	2102.2952	2039.6602	946.3333	1000.0	89999	120.530785	34.976143	120.53055	34.976166	-122.26398	2.6900213	811.2016735076904
19	2017.0608	23.270605	2046.5842	1987.6191	1917.2737	13.228421	1940.6458	1889.7231	1000.0	1000.0	94999	124.76615	35.41429	124.76613	35.41439	-126.433685	2.6978488	861.5860152244568
20	1999.97	26.392662	2031.1088	1964.0425	2128.9478	22.828537	2160.1477	2077.1514	1000.0	1000.0	99999	128.69615	35.50418	128.69586	35.50431	-130.37383	2.6025908	909.7467103004456
21	1856.1703	279.8606	2029.7307	1298.7487	2004.4213	16.811289	2030.4147	1977.679	909.8	1000.0	104999	132.10817	35.64488	132.10806	35.645027	-133.75418	2.555857	958.6663789749146
22	1679.0931	458.21387	2013.8564	886.28296	2139.2107	100.62385	2200.9006	1714.0343	841.3333	989.55	109999	135.27907	35.88333	135.2789	35.883366	-136.82088	2.5410848	1011.6369411945343
23	1929.998	241.87877	2089.8447	1447.9945	1983.2074	12.884426	2007.1874	1961.6324	938.4	1000.0	114999	138.00917	36.2717	138.00911	36.271446	-139.48347	2.6369193	1060.0290114879608
24	2024.0026	18.919132	2045.7393	1992.4585	1981.2576	360.18192	2091.2747	413.29187	1000.0	960.65	119999	140.65575	36.511982	140.6558	36.51181	-142.17923	2.7338119	1108.3270471096039
25	1826.267	450.4027	2059.6638	819.79675	2148.5608	17.064737	2179.485	2105.3987	902.3333	1000.0	124999	143.19225	36.62987	143.1921	36.629894	-144.67586	2.6937666	1158.8658776283264
26	1851.6884	293.34424	2032.9982	1213.5068	2049.3218	123.7908	2110.9338	1514.5243	924.6667	986.7	129999	145.41539	36.737103	145.41527	36.73713	-146.82274	2.7613995	1210.167810201645
27	2025.9902	54.45614	2111.0747	1966.5508	2243.1208	16.038048	2274.0767	2215.1526	1000.0	1000.0	134999	147.30676	36.8319	147.3068	36.832603	-148.63208	2.750842	1258.6327509880066
28	1920.1951	281.29944	2085.834	1359.126	2032.055	207.12929	2098.1643	1129.9967	936.2	977.65	139999	149.22784	36.61104	149.22774	36.611385	-150.54514	2.713152	1307.0909385681152
29	2005.8727	114.81251	2081.9458	1778.4408	2116.5608	9.168749	2130.593	2099.2715	974.6	1000.0	144999	150.86618	36.358463	150.86617	36.35845	-152.13866	2.8036878	1359.4218063354492
30	1692.1504	509.29263	2081.8171	943.0211	2101.9004	213.37282	2179.037	1173.7035	825.8333	977.05	149999	152.24922	36.38899	152.24924	36.388313	-153.4619	2.80584	1409.0004467964172
31	1972.2559	128.68149	2101.9146	1726.9349	1929.2797	228.15248	2006.9646	938.2816	973.2	972.4	154999	153.36938	36.570374	153.3693	36.57034	-154.54706	2.7990382	1457.2319033145905
32	2001.4866	22.339842	2042.3365	1981.6913	1972.8933	227.7427	2042.938	981.35333	1000.0	973.4	159999	154.43958	36.587673	154.4396	36.586864	-155.61504	3.0124722	1506.5756931304932
33	1870.2568	217.01051	2021.1271	1389.5862	1930.7162	105.09688	1992.8572	1500.063	934.8333	984.65	164999	155.44212	36.421356	155.44203	36.421444	-156.59172	3.0541394	1559.0498106479645
34	1947.3881	34.973923	1981.7069	1880.9232	1902.2955	15.323554	1929.4576	1873.1698	993.8	1000.0	169999	156.14893	36.494217	156.14867	36.49413	-157.2635	3.0167234	1607.3315443992615
35	1961.0339	34.8659	2002.9941	1917.4272	1852.8835	246.16049	1949.78	843.78955	1000.0	960.65	174999	157.09639	36.387302	157.09637	36.386566	-158.16635	3.1229243	1655.6579241752625
36	1953.7386	30.972227	2012.6797	1928.5306	2070.604	11.696344	2093.9912	2053.3604	1000.0	1000.0	179999	158.10628	36.04773	158.10632	36.046665	-159.15765	3.1048949	1706.964322090149
37	1976.1208	38.72347	2018.3923	1927.6549	2102.6423	10.388811	2122.9163	2078.646	1000.0	1000.0	184999	159.04463	35.90352	159.04454	35.902	-160.09653	2.9262614	1757.6916382312775
38	2007.4197	12.642623	2029.6827	1990.7285	2072.448	11.089297	2090.7441	2053.0376	1000.0	1000.0	189999	160.068	35.579414	160.06787	35.57869	-161.08058	2.9875019	1806.1181874275208
39	1843.0107	334.79507	2057.0955	1179.8909	2155.7837	10.428492	2176.0803	2138.795	913.4	1000.0	194999	161.0677	35.36232	161.06763	35.361557	-162.07208	2.816588	1854.6546642780304
40	1396.3926	642.0691	2056.4792	427.02335	2068.0308	21.277452	2097.5425	2005.2806	694.2857	1000.0	199999	161.77792	35.325207	161.77785	35.324203	-162.73778	2.8862188	1907.5798063278198
41	1570.7842	631.0153	2036.4255	604.685	1876.3984	482.22235	2064.8708	419.74164	783.0	922.5	204999	162.45465	35.25398	162.4544	35.253666	-163.3701	2.8298407	1956.3925168514252
42	1764.1488	527.912	2036.6981	584.3205	1962.7422	172.53676	2067.378	1412.609	885.8333	973.7	209999	162.94983	35.27963	162.94995	35.278847	-163.88942	2.9333699	2004.7434947490692
43	2018.3656	20.049702	2053.6887	1999.4019	2111.1506	20.465042	2140.5938	2060.7473	1000.0	1000.0	214999	163.60786	34.85224	163.60785	34.85084	-164.56218	2.9708085	2054.893209218979
44	1893.4633	203.7478	2010.097	1486.3774	1963.7727	22.409885	2008.8761	1927.0363	945.2	1000.0	219999	164.41264	34.281563	164.41258	34.279007	-165.35394	3.027946	2106.6891644001007
45	2038.1194	10.101062	2054.1016	2025.3738	2040.458	63.463245	2088.6162	1772.5569	1000.0	992.5	224999	165.16866	34.008255	165.16869	34.007156	-166.01302	3.017502	2155.021575689316
46	2052.6184	8.995358	2063.4016	2041.0862	2040.1985	13.719784	2064.086	2014.6625	1000.0	1000.0	229999	165.84612	33.78546	165.84598	33.784737	-166.68982	2.8677778	2203.3316276073456
47	1963.3365	151.21259	2050.2036	1626.9841	2201.484	19.861673	2242.621	2161.5286	970.8333	1000.0	234999	166.58322	33.462868	166.5832	33.46147	-167.46175	2.8196995	2255.3061792850494
48	1667.7219	777.5202	2092.2012	113.38964	1978.6404	357.63904	2108.2463	442.80273	815.8	955.4	239999	167.25533	33.28372	167.25514	33.283733	-168.03587	2.8438203	2305.318659543991
49	1741.7485	607.2153	2061.1863	386.09933	2139.97	9.933293	2161.643	2120.7832	865.8333	1000.0	244999	167.7085	33.554607	167.70866	33.555557	-168.54317	2.8279483	2353.684718608856
50	2080.1436	14.861009	2105.5303	2060.7224	2208.7505	16.159554	2242.452	2170.1045	1000.0	1000.0	249999	168.32298	33.629276	168.32274	33.628105	-169.14107	2.7785635	2402.8330578804016
51	1294.392	889.4246	2107.1555	154.69414	522.5882	432.0568	2053.8457	151.39844	630.1111	270.8	254999	168.91919	33.621265	168.91922	33.62024	-169.74188	2.8353136	2455.6652545928955
52	1208.3252	883.085	2109.3748	151.23999	2140.2065	17.30196	2178.9546	2105.2593	586.125	1000.0	259999	169.3183	33.612823	169.31842	33.61115	-170.1028	2.859655	2503.9552001953125
53	1681.1605	647.0676	2130.8875	383.42984	2143.5571	11.099779	2163.583	2125.0774	804.8333	1000.0	264999	169.58618	33.683403	169.58614	33.682278	-170.34523	2.9630647	2552.4004395008087
54	2087.3713	13.517552	2114.1611	2078.2466	2084.3386	20.422802	2128.5771	2047.2906	1000.0	1000.0	269999	169.78894	33.751095	169.78886	33.749687	-170.4935	3.0992727	2603.360776424408
55	1594.8175	640.3698	2076.2427	302.3136	1838.5898	410.7553	2064.6375	764.09326	774.1429	901.65	274999	170.1581	33.554775	170.15834	33.55293	-170.87921	3.1230528	2654.3304550647736
56	2102.866	49.204903	2152.5427	2013.5629	2146.1533	13.425228	2177.6953	2117.8115	1000.0	1000.0	279999	170.60999	33.38212	170.6099	33.37933	-171.35164	3.1423945	2702.5660638809204
57	2089.4712	32.765686	2149.6675	2049.7017	2123.2642	13.283478	2149.3	2090.8474	1000.0	1000.0	284999	170.96046	33.38583	170.96048	33.383068	-171.66283	2.9974587	2751.072697162628
58	2042.8317	87.34562	2110.336	1872.6135	2177.019	10.772595	2202.9348	2159.0312	981.2	1000.0	289999	171.4322	33.29452	171.43202	33.29349	-172.10182	3.0331302	2803.757698535919
59	2137.6426	42.156067	2204.7888	2084.1519	2226.376	17.75619	2253.3037	2197.5916	1000.0	1000.0	294999	171.93431	32.88381	171.93443	32.88193	-172.67412	2.9413166	2852.9603638648987
