Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	336.9816	175.7508	501.8941	73.606804	367.31998	37.557377	399.29514	253.60327	690.1429	1000.0	4999	3.763272	2.0629284	3.7633448	2.0628726	-4.0547757	0.010293789	55.837032079696655
2	446.55377	88.63619	515.5523	271.71207	216.25175	133.97383	363.68307	-39.204155	914.2	845.95	9999	12.885926	3.3830385	12.885927	3.3830633	-13.5050125	0.038410548	118.96998023986816
3	87.945274	134.03323	383.00827	-9.954542	266.22122	124.66623	644.385	84.618576	371.07144	792.8	14999	22.63662	4.3768435	22.636677	4.376396	-23.235737	0.37029037	183.90253162384033
4	228.15007	20.99101	247.41273	188.15274	266.8478	85.68134	388.30347	42.15653	894.8333	903.55	19999	35.451405	9.1502495	35.451504	9.148967	-36.563213	0.5973496	248.21402955055237
5	207.80952	102.77721	399.29315	123.91834	435.62857	82.94318	582.2963	251.46422	909.0	1000.0	24999	50.488064	8.963544	50.48822	8.962334	-51.411804	0.7919698	311.35368490219116
6	414.569	66.53921	491.90656	302.29395	296.3076	84.98907	490.44315	72.183174	943.8	955.15	29999	57.18341	6.3440204	57.183506	6.342543	-57.914574	0.9375234	374.30408787727356
7	100.06107	171.45825	514.9342	-1.5942812	369.22702	105.61778	586.3308	203.16841	255.45	1000.0	34999	61.870262	6.1566896	61.8704	6.1553726	-62.79156	1.5692751	437.1127755641937
8	404.299	131.82375	583.1399	222.51598	471.00366	132.8831	644.0785	200.22891	1000.0	1000.0	39999	67.5153	6.1324463	67.51529	6.131016	-68.479904	1.6545762	500.0728180408478
9	333.19403	110.79458	529.05133	206.4928	288.07968	102.985916	504.4334	108.26003	1000.0	1000.0	44999	71.696915	5.6126995	71.69688	5.610436	-72.62306	1.4878883	563.8940589427948
10	292.02063	92.517876	432.74817	181.46968	272.8985	175.32854	558.7877	-2.2247262	1000.0	737.35	49999	75.450035	6.146309	75.449974	6.1426954	-76.42792	1.6399112	628.0895628929138
11	283.91245	200.48401	537.6135	-0.81986964	363.60443	176.42537	649.83606	61.357853	720.8571	767.9	54999	79.40655	7.5436645	79.40637	7.5397015	-80.4509	1.4008695	693.4403948783875
12	294.5506	173.3841	568.0182	1.8053563	434.65543	139.70543	742.80914	193.95386	659.875	1000.0	59999	82.289665	7.5688953	82.28959	7.5662336	-83.19817	1.9276618	758.4120435714722
13	356.29044	140.22472	586.56104	156.84409	254.0214	116.37721	415.64517	13.126508	801.8333	765.75	64999	83.26644	7.9575076	83.2664	7.9550323	-84.04283	2.185802	822.7769718170166
14	141.2756	211.08609	613.3637	3.5418684	330.92062	135.90633	574.04675	118.998535	309.8	960.15	69999	84.02844	7.6870656	84.02847	7.6840024	-84.769066	2.428775	885.6593041419983
15	409.8084	59.822186	486.78696	352.3725	566.61597	107.175446	714.65283	302.66568	1000.0	1000.0	74999	84.54331	7.575262	84.543365	7.5729103	-85.34736	2.3133063	948.1357324123383
