Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	385.06998	135.24095	524.5013	144.0879	128.834	31.757067	201.25243	105.45141	806.0	1000.0	4999	12.19855	5.863717	12.198818	5.8623385	-4.5752125	-12.921146	0.09204393	0.12690324	1.6224005	64.93194103240967
2	327.17154	146.33214	499.94394	124.136246	328.2955	126.43689	566.66943	164.91356	737.6667	1000.0	9999	42.6656	23.764658	42.665123	23.76264	7.975032	-45.34329	1.7017734	0.076163135	-0.03470056	136.72188234329224
3	304.52676	73.60202	445.29236	200.28055	238.41312	80.04832	343.83224	16.79763	925.8333	905.85	14999	136.03839	54.51446	136.03859	54.507793	8.379146	-139.74231	12.119652	0.1510853	-0.05236368	213.33648538589478
4	239.87735	137.48035	445.7641	60.59325	572.7106	163.03822	736.16785	15.624045	849.2	955.6	19999	220.89748	63.986572	220.8975	63.97832	8.044721	-224.60985	15.822315	0.15214325	-0.0064122495	287.7640652656555
5	449.00543	75.5108	525.5515	340.92358	553.3739	107.50491	744.05774	332.4324	1000.0	1000.0	24999	261.90067	39.910053	261.9012	39.899734	7.9897227	-264.86862	15.441417	0.15138142	0.0016046517	359.3864755630493
6	246.45769	228.71921	615.7234	3.5884144	530.0765	169.61304	750.90173	147.53824	564.44446	1000.0	29999	274.44034	31.42326	274.44067	31.416765	7.991447	-277.0601	13.838355	0.15058884	0.0013044687	432.68958377838135
7	413.28476	139.8046	576.5333	219.18893	381.5716	198.91776	643.367	51.751842	1000.0	732.85	34999	273.2335	36.685913	273.2341	36.677284	7.9941726	-275.3606	13.578078	0.14797883	0.00086159585	508.0661029815674
8	212.37012	160.5766	544.92773	41.25737	286.75128	215.61826	633.4789	-0.1885571	487.5	602.05	39999	267.35364	31.583797	267.35367	31.580667	7.9837303	-269.2698	22.31192	0.13507691	0.0022879352	582.9910278320312
9	448.0589	16.690191	477.74747	428.04706	536.7257	126.629974	759.74365	332.76492	1000.0	984.4	44999	258.39026	20.476124	258.39017	20.481302	7.9541874	-260.35004	19.022932	0.12885034	0.0057040863	655.6052138805389
10	479.23257	89.79873	644.5618	381.01138	533.6063	84.62978	759.4683	403.20676	1000.0	1000.0	49999	246.76845	17.024921	246.76843	17.03755	7.939185	-248.35245	13.74638	0.10321756	0.0062819957	727.3736472129822
