Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-31.852833	7.2988057	-12.470177	-55.152958	18.830706	11.888755	42.766533	-4.994085	19.476562	29.35	4999	-0.26555917	2.6026776	-0.26568487	2.6028442	-2.433612	0.14197329	47.65971326828003
2	-31.631666	7.6753163	-13.973499	-55.707436	23.046684	8.513896	34.29334	4.404036	19.34749	38.45	9999	11.153201	8.762151	11.153196	8.76239	-16.158043	0.3910554	101.52447366714478
3	13.175268	10.360887	45.386356	-19.352781	2.8815248	13.036458	36.293774	-15.890628	28.096045	29.05	14999	30.664	17.447037	30.664066	17.44772	-35.883442	1.2668942	160.4777090549469
4	7.3896217	16.404709	52.23603	-36.79206	14.623294	15.1252775	46.40102	-15.070948	31.08805	31.9	19999	34.23245	21.78044	34.23271	21.77928	-38.583103	1.900441	221.72605800628662
5	8.037213	23.618483	71.01561	-75.86	7.5220633	22.43274	51.099243	-37.280083	49.509804	65.7	24999	35.99664	22.20852	35.99659	22.208097	-40.103252	2.2159083	286.38217639923096
6	18.78588	21.437359	71.48698	-32.842743	21.393623	24.610645	64.43043	-13.517042	42.109245	41.6	29999	38.534325	21.525953	38.53446	21.524508	-42.459183	2.6904695	351.2462887763977
7	9.516755	24.461119	71.52774	-34.24087	11.589762	12.248544	53.5237	1.6999882	43.301723	31.45	34999	41.75808	22.203007	41.758015	22.201624	-45.51636	3.3744	414.821590423584
8	3.4602444	24.65076	63.89144	-55.65841	-1.753783	26.569685	74.57351	-43.314415	44.63063	52.15	39999	43.813065	23.74611	43.81301	23.744844	-47.601448	4.394175	479.04649662971497
9	13.324083	23.152237	73.397675	-23.990574	38.512634	12.878492	69.64272	18.222166	45.87156	50.4	44999	45.288555	24.574547	45.288513	24.57276	-48.93893	4.8937483	542.585001707077
10	20.321287	24.93025	74.69693	-30.98484	20.453472	27.643476	76.966324	-41.978413	45.036037	60.45	49999	46.73207	25.15946	46.731995	25.158123	-50.417824	5.3915186	608.8591132164001
11	-7.9547334	31.160282	64.16416	-89.053734	-38.744743	21.389936	11.871005	-76.410126	53.351063	47.25	54999	48.98314	25.848497	48.984127	25.846458	-52.654556	6.537932	672.8232328891754
12	-0.49977082	22.831425	81.79825	-61.69968	6.9418235	12.464678	34.967674	-9.361151	49.79208	41.45	59999	49.986275	26.960508	49.987957	26.958796	-53.558887	7.611518	736.5636174678802
13	8.870497	23.799818	60.87772	-60.675495	0.978923	19.338259	30.770494	-36.26387	46.85849	58.25	64999	49.64236	27.511955	49.6425	27.510685	-53.0544	7.9814553	801.3186893463135
14	12.37042	21.103502	52.887524	-43.641262	22.565495	19.738613	60.903904	-19.297304	52.63158	51.8	69999	49.50226	27.219362	49.502403	27.216894	-52.93455	8.235635	866.867600440979
15	18.07664	24.579556	67.87111	-42.022213	29.071096	13.535402	57.51984	-3.8939981	54.866665	52.75	74999	49.935726	27.415083	49.936	27.413618	-53.23035	8.430186	931.1544849872589
16	6.5097804	28.29111	65.744705	-41.934868	-2.6434948	20.305532	42.914425	-45.249756	53.904255	49.6	79999	50.548958	27.831804	50.54903	27.831532	-53.75699	8.788549	993.669047832489
17	5.887231	20.3496	40.66691	-64.70956	6.5370226	27.589214	71.51688	-37.664795	56.13483	58.9	84999	49.809887	27.820889	49.809624	27.819645	-52.80582	9.089897	1059.3474373817444
