Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	16.846401	12.296764	109.67694	5.578207	6.414946	0.13857761	6.585854	5.994249	21.239317	10.9	4999	16.216034	14.26631	16.21636	14.265783	1.4157921	-18.745892	2.259851	0.14807272	0.26647687	37.11381530761719
2	18.538061	19.89437	203.61403	5.2939215	204.88762	2.128715	209.59462	202.10893	21.872807	99.0	9999	88.30657	40.210056	88.309784	40.19839	3.429089	-97.048775	44.144287	0.23553586	-0.08528696	81.5498993396759
3	216.25359	41.871284	329.27518	29.394567	29.945755	0.6105347	31.006317	28.839895	104.375	47.05	14999	185.96556	53.90358	185.96762	53.848442	2.9502552	-197.36043	138.78685	0.2827423	0.012857294	128.7511751651764
4	97.945435	180.25903	673.6037	7.163375	1005.4084	1.9571024	1008.5267	999.5902	116.567566	1000.0	19999	212.35703	66.376015	212.35323	66.36404	2.9353054	-220.93655	141.22792	0.22438872	0.013237994	180.58095359802246
5	415.9352	316.98093	1142.3699	198.99213	996.5133	1.2646595	999.5099	994.7882	320.35294	1000.0	24999	205.79193	62.112404	205.79205	62.087425	2.9496205	-212.05263	78.98784	0.16642724	0.00800581	232.3774471282959
6	1031.0198	12.316105	1047.927	1018.33405	1025.2504	0.99524766	1026.6099	1023.15027	1000.0	1000.0	29999	198.33806	52.722816	198.33968	52.68959	2.9387178	-203.45099	47.8209	0.12440626	0.007301393	284.23135471343994
7	438.22858	225.59055	1022.1907	277.24274	331.5228	3.4463623	337.08084	327.07843	272.21054	162.15	34999	193.53703	42.0518	193.53844	42.016796	3.0005124	-197.73248	33.687813	0.09798035	-3.8646125e-05	331.7917082309723
8	318.62326	149.35667	576.7114	116.96375	111.6642	5.082528	120.31727	103.32019	221.95454	151.3	39999	193.48398	43.51226	193.48584	43.483776	2.9985595	-197.5487	35.265705	0.10769162	0.0001645256	379.3447480201721
9	413.0998	353.56564	977.0814	113.014244	230.3632	3.2373724	236.70474	225.28043	473.3	99.7	44999	193.45993	41.951008	193.4606	41.95104	2.9916387	-197.01575	35.12799	0.09568937	0.000835583	426.58867025375366
10	363.67245	172.38875	1080.3337	212.33397	354.51398	3.1136875	360.38345	348.42117	187.41379	179.7	49999	191.79684	43.29716	191.79744	43.299744	2.9958892	-195.19191	27.444227	0.09665476	0.0004016465	474.1101965904236
11	359.28925	29.801216	437.17838	313.30225	440.81982	15.452511	475.2204	413.30023	162.16129	268.8	54999	191.13185	48.6114	191.13	48.604507	2.994354	-194.3565	21.931288	0.09148446	0.00052875956	522.2100043296814
12	353.08435	51.164574	448.67	190.21672	208.4561	32.880695	310.96548	185.29576	150.60606	96.55	59999	188.78546	52.65429	188.78513	52.648064	2.9805214	-191.78392	19.37269	0.08222074	0.001661237	569.5587766170502
13	388.05566	116.723785	698.26825	183.16682	478.96094	48.220387	671.0122	444.2517	166.93333	217.85	64999	182.17172	53.98693	182.17134	53.985245	3.0041978	-184.73323	18.168777	0.07607291	-0.00033440828	617.8787333965302
14	325.213	129.82304	515.71344	27.646753	370.21454	176.20497	533.23236	142.40034	139.66667	204.05	69999	178.13809	53.46822	178.13931	53.46856	3.003298	-180.5974	18.302265	0.08730247	-0.00026614638	665.9142556190491
15	284.33057	61.884758	551.8879	153.9118	233.9377	8.951283	247.25621	216.60583	132.45946	107.55	74999	173.91414	52.27791	173.91603	52.271843	2.9880881	-176.1357	17.896254	0.084679715	0.0009857202	713.258425951004
16	294.3192	30.780897	386.9683	246.55136	339.55048	18.241024	372.02298	312.2114	127.8	147.75	79999	168.80618	51.671364	168.80792	51.664917	2.9867008	-170.76524	16.533073	0.073622935	0.0010124978	761.0289335250854
17	391.8456	135.1715	834.73334	273.59674	705.6507	115.53027	825.2983	492.11023	160.90323	240.2	84999	165.12253	51.81483	165.12439	51.81122	3.0183213	-167.0621	14.279267	0.07725397	-0.0014113747	809.2407212257385
18	634.7784	41.89705	750.114	570.7587	657.8034	11.980889	695.8524	643.7759	213.21739	227.35	89999	169.01614	51.990475	169.018	51.990505	3.0086184	-171.12875	14.434159	0.08729108	-0.00072558346	857.4707894325256
19	682.43787	131.8107	1098.9022	294.35593	668.2821	2.4458313	673.7962	664.2124	226.59091	213.45	94999	176.34544	53.515335	176.347	53.514465	3.0120695	-178.4428	17.401459	0.0913896	-0.0010997466	905.6081712245941
20	625.7957	188.03136	957.9521	163.03528	522.59924	89.32632	676.73926	421.59048	212.91667	178.7	99999	182.8108	55.799965	182.81267	55.79936	2.976065	-184.81972	16.642687	0.089873165	0.0021104245	953.7894096374512
21	539.72375	155.59787	833.383	276.3404	609.68445	2.3312426	616.4694	606.8594	183.40741	206.25	104999	186.18192	56.232517	186.18431	56.23504	2.9882264	-188.12863	15.440261	0.07606613	0.0009164591	1001.9431114196777
22	640.6027	97.98236	827.9744	281.25546	639.2599	102.230446	768.9867	256.30872	218.95454	220.2	109999	187.77832	57.30097	187.77994	57.294155	2.9987626	-189.613	14.643361	0.074583255	9.6219e-05	1050.0748493671417
23	671.70044	163.83531	1050.857	256.20755	684.42285	1.5255228	686.8018	681.7506	231.31818	228.25	114999	187.91734	57.8042	187.91814	57.804214	3.00017	-189.59912	15.77182	0.07357807	-6.123412e-06	1097.8752980232239
24	645.4595	174.40108	961.2687	165.67436	435.58868	245.97687	869.3568	288.33643	222.39131	180.45	119999	186.59366	57.089264	186.59431	57.08893	2.990981	-188.14592	13.947581	0.06986358	0.00064735406	1145.9156701564789
25	675.30786	178.73564	875.627	259.07996	715.61896	48.496853	853.2108	668.23157	228.95238	231.3	124999	185.18439	56.121624	185.18526	56.111206	2.995036	-186.642	13.536167	0.06764922	0.00034010416	1193.9307568073273
26	723.01044	76.23009	951.1735	617.8478	676.9159	9.106406	689.1465	656.02216	241.85715	210.5	129999	185.089	54.889854	185.0889	54.885826	2.9982696	-186.49876	11.88115	0.06604526	0.00011894241	1241.5598843097687
