Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	-4.210578	40.482037	66.73944	-85.59731	185.1	0.23331977	0.40281543	2.2992976	-1.4557357	5000	-0.1105428	97.7571	3.249157	0.047597293	79.0
2	-4.324776	24.844252	37.15108	-48.06138	339.0	-0.39260006	5.4604583	24.087751	-24.76642	10000	-0.13723901	67.67403	3.2014215	0.015091629	79.0
3	10.067214	13.673295	36.33506	-18.210133	120.30769	-1.745648	4.2123003	11.325198	-22.500128	15000	-0.14115733	80.52765	3.2100976	0.056326326	79.0
4	-0.55413055	18.57812	37.27815	-34.427303	243.8	2.3204591	3.2470539	19.155891	-10.703078	20000	-0.14197555	34.557255	3.18729	0.03748744	79.0
5	-5.4605737	22.180712	18.146912	-69.58049	187.38461	1.823084	3.1523042	13.372715	-9.337945	25000	-0.13955766	77.537636	3.1447308	0.02356653	79.0
6	10.16543	27.626608	92.44441	-36.38589	125.26087	0.1577044	4.0800586	17.825953	-17.867	30000	-0.14170073	126.37725	3.110996	0.058737367	79.0
7	21.575476	43.339367	165.42809	-33.305824	221.11765	1.1473331	6.173466	42.21742	-23.440039	35000	-0.13551487	95.721306	3.098095	0.035388105	79.0
8	10.70399	29.525337	68.637665	-36.94972	240.71428	6.1086392	4.050027	33.621372	-10.675432	40000	-0.13738349	70.780876	3.0564127	0.012921338	79.0
9	29.531658	24.058628	61.746655	1.0553429	379.75	3.2749255	6.995302	33.54726	-22.162851	45000	-0.13535081	67.80905	3.0287938	0.04820568	79.0
10	29.243805	31.015192	93.562614	-27.748838	239.38461	5.4050317	3.5157638	22.509094	-11.877589	50000	-0.13954927	90.50565	3.009833	0.06005863	79.0
11	31.436104	37.491306	125.579	-2.1481094	217.45454	8.11885	5.628635	30.529037	-18.867073	55000	-0.13678499	90.300026	2.9822717	0.051462475	79.0
12	19.203293	25.291195	70.97799	-10.706444	227.5	8.539828	3.521711	30.886505	-5.767113	60000	-0.13470969	71.52426	2.93595	0.017105801	79.0
13	21.520342	49.291424	102.41017	-47.10048	274.42856	7.7579737	6.032532	31.111284	-30.72386	65000	-0.13670918	63.29426	2.916358	0.05199602	79.0
14	42.743614	60.274696	186.18657	-30.349674	274.125	10.135228	5.604894	30.913769	-36.823154	70000	-0.13757767	70.660835	2.8771448	0.0634522	79.0
15	73.802444	68.84991	195.38724	-7.0964737	379.625	10.375691	8.190241	40.409756	-34.823402	75000	-0.12677827	75.62828	2.8655336	0.075063534	42.0
16	39.523018	53.1235	168.23207	-14.478807	207.8	14.557774	4.1990805	43.8853	-4.3674755	80000	-0.13515615	59.04507	2.8373375	0.0063166725	79.0
17	56.768436	56.466564	163.42737	-10.154352	384.7143	12.468255	4.617601	32.578568	-14.696277	85000	-0.14101751	90.23017	2.7782211	0.03950202	79.0
