Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	9.468038	3.3904698	22.804668	3.9309118	14.900901	0.24788389	0.14591649	0.84140027	0.020596044	5000	-0.039388392	3.64716	1.4437103	0.026164697	79.0
2	12.393848	5.742499	36.43266	4.467897	17.780575	4.3997545	3.1092677	11.233432	-1.9129277	10000	-0.029285999	11.680813	1.554223	0.104424916	4.0
3	42.571613	37.634987	182.54735	7.237089	41.05042	9.040966	4.2683687	22.370237	-1.2162986	15000	-0.051328022	404.4651	1.5258514	0.021350035	79.0
4	85.610756	70.715775	268.7342	7.289547	65.69863	32.637405	14.972746	77.32339	-7.3357673	20000	-0.054231208	790.03235	1.4758629	0.022320004	79.0
5	168.35944	84.74974	322.12048	17.992367	108.111115	53.98789	21.26719	111.9835	-0.13562688	25000	-0.052190755	721.0322	1.4377824	0.025118329	79.0
6	175.81393	58.124283	252.0328	9.434698	101.319145	75.35904	26.303776	109.84035	-7.837216	30000	-0.044036612	490.8899	1.3984648	0.008474183	79.0
7	195.59213	42.73749	256.39777	34.658962	107.46512	74.557976	29.578306	112.143074	-4.983461	35000	-0.043904677	299.25845	1.3608317	0.0061929408	79.0
8	210.27477	50.030643	309.60123	7.9943514	118.4359	79.44564	30.68073	117.692764	-5.056813	40000	-0.041837823	136.3325	1.3365064	0.007122055	79.0
9	216.09717	11.724953	249.14232	198.76929	116.525	81.48688	35.7768	125.31902	-12.998951	45000	-0.045193326	31.624218	1.3018053	0.015602298	79.0
10	228.39041	21.388475	293.4307	200.5748	126.432434	83.09362	35.777725	127.40133	-4.955106	50000	-0.040012296	32.156845	1.2778217	0.01489861	79.0
11	233.84892	20.023035	274.84457	204.49529	129.2973	85.27183	36.04989	129.08998	-2.9586332	55000	-0.046708275	29.648844	1.252409	0.022456802	79.0
12	229.33778	33.28381	281.94263	83.16496	125.89189	87.64564	36.4467	129.78145	-2.7605028	60000	-0.0340424	91.93029	1.2264774	0.009682005	79.0
13	246.55096	17.260742	281.34357	211.25987	137.51515	86.72946	35.249546	131.12523	-8.032123	65000	-0.049817793	25.300146	1.2014374	0.016597772	79.0
14	267.0426	28.863085	338.82886	201.53622	155.34483	88.991844	35.29364	132.53723	-9.382742	70000	-0.047735576	40.93917	1.1762785	0.018775146	79.0
15	272.0911	30.242271	324.1706	197.71515	154.23334	90.98985	36.091522	133.71753	-3.9649136	75000	-0.038104873	121.5949	1.1658798	0.014693217	79.0
16	290.74554	22.052128	327.00644	245.8977	168.96153	93.439445	33.43382	136.78722	-6.561237	80000	-0.053352028	27.645046	1.1509581	0.020784397	79.0
17	293.46628	21.537014	335.28348	232.10841	165.48276	94.399445	36.25691	138.3228	-1.5383476	85000	-0.045986556	36.482742	1.1275191	0.019697517	79.0
18	284.83575	17.355307	314.7542	255.73833	152.43333	97.38308	37.531387	139.72081	-14.626361	90000	-0.047791094	22.048359	1.1068206	0.016365524	79.0
19	295.1878	35.48993	333.02148	123.619354	157.93103	99.84729	37.342587	142.69022	-2.6438935	95000	-0.031657916	86.36215	1.0893295	0.01463808	79.0
20	287.28384	17.078289	331.122	261.76318	145.40625	101.58866	38.73768	147.92189	-1.8673155	100000	-0.051641967	9.204986	1.0457717	0.014318335	79.0
21	287.53122	26.096622	346.04254	190.58461	144.0	104.7811	39.078907	148.86061	-1.809873	105000	-0.035446227	40.697598	1.0241235	0.0134447375	79.0
22	284.62842	14.261264	321.83444	245.683	140.20589	104.07896	39.788692	148.59354	-4.549075	110000	-0.048982766	17.677137	0.9980252	0.020621255	79.0
23	282.2876	15.731857	306.3241	216.8029	137.61765	105.08765	40.29792	146.97523	-5.57397	115000	-0.038230248	39.328888	0.97351307	0.006682947	79.0
24	288.83887	12.178451	320.95966	270.56927	139.67647	104.62298	40.73736	149.1162	-18.217093	120000	-0.050659984	5.2385764	0.9309365	0.020430433	79.0
25	285.5519	9.748079	309.1528	259.6667	136.17143	107.39894	41.248783	150.94981	-8.6196575	125000	-0.048072986	5.8844156	0.90158045	0.024517873	79.0
26	289.71	8.599735	323.11826	274.69037	136.91429	107.621635	41.3722	149.5042	-5.3291492	130000	-0.047622718	8.350255	0.88546175	0.017890444	79.0
27	293.5145	8.7059	310.7098	276.88303	139.17143	107.76696	42.101727	151.21342	0.39911443	135000	-0.049383916	4.84344	0.863771	0.015376557	79.0
28	298.2175	10.125562	315.47568	270.87637	141.88235	108.16995	41.509884	151.20398	-0.8232239	140000	-0.041321527	10.528214	0.82926345	0.016095724	79.0
29	300.24384	8.95293	314.23715	280.16055	140.72728	109.30453	41.76374	153.17258	-1.8366059	145000	-0.047318954	9.147752	0.7916056	0.02073177	79.0
30	299.66208	14.303814	318.36246	246.59348	141.42424	111.640434	41.06352	154.55188	-0.7964702	150000	-0.03654217	32.093105	0.7876077	0.005959112	79.0
31	303.03006	11.508268	322.4044	273.76657	141.34285	109.44785	41.581497	152.91028	-2.4136107	155000	-0.042966925	24.006174	0.7636817	0.020317653	79.0
32	302.70663	8.197176	318.9273	284.86118	140.14706	111.74965	42.347836	154.21094	0.23673517	160000	-0.05375117	2.7427351	0.69365996	0.016032355	79.0
33	300.62827	24.459835	322.56467	167.07555	139.20589	113.73194	41.748577	155.39983	0.07252643	165000	-0.02393021	85.30381	0.6820423	0.0021926712	79.0
34	295.37518	45.983532	321.2945	135.52354	138.88235	114.13955	40.55248	154.08498	-1.0064462	170000	-0.031858686	250.56813	0.6581391	0.0021150035	79.0
35	311.18314	6.907758	323.6264	297.66995	144.36363	110.099915	39.63024	152.2727	-2.42954	175000	-0.042840593	4.20288	0.6139054	0.032013036	79.0
36	308.59885	28.895624	332.1963	155.36615	144.45161	115.63876	40.84782	155.32874	0.7313425	180000	-0.024974313	107.30077	0.60747665	0.0026100136	79.0
37	316.19373	9.178508	330.6661	282.38928	148.3	113.84345	39.93411	154.51826	-1.6837347	185000	-0.040223334	11.923661	0.59020954	0.020422947	79.0
38	304.15558	30.40398	324.5772	146.77907	141.84375	116.01649	40.90284	156.56947	2.3128002	190000	-0.028945083	110.65116	0.57650036	0.0042674034	79.0
39	313.70514	4.6687946	323.10986	298.86026	144.67741	111.81706	40.994865	153.65512	0.51267284	195000	-0.049271975	2.666505	0.54902315	0.026670905	79.0
40	314.1396	9.253696	327.19052	288.7314	145.54839	115.604225	41.145336	156.00475	0.46606442	200000	-0.038310047	12.29001	0.5135907	0.013216736	79.0
41	315.76434	9.907586	331.7525	274.41632	145.53334	115.03953	41.3407	155.98833	-1.2161491	205000	-0.034816023	15.792994	0.4935448	0.016144998	79.0
